DEX,Pair,Pool Address
Pancakeswap v3,CAT/WBNB,0x588d7cf062f4edd7c7c7f2d66fd770e03b1ea735
SQUARD SWAP v2,wSLS/SQUAD,0xa8141cf5f9a3e9d1eaa628db529096ff233c48e0
SQUARD SWAP v2,SQUAD/WBNB,0x48d1185d91efec69e4a2b2e85426b13ecad32112
