,CATI,HMSTR,CAT,MMSC,FRAX
CATI,1,314788.010823657,2.806015914571775e-06,1.8355968486994842e-19,2.935254525262634e-14
HMSTR,0.0003176741062607356,1,8.913985978149893e-11,5.831215883656314e-24,9.32454357960587e-19
CAT,35637716.62188201,1121832592569.9414,1,6.541648032597185e-13,1.0460576898440657e-07
MMSC,5.4478193330332716e+20,1.7149082111722053e+25,152866677482031.53,1,1599073.6350099177
FRAX,3406859580296615.5,1.0724385504370906e+20,955970220.1023623,6.253620709554115e-05,1
