,CATI,HMSTR,CAT,MMSC,FRAX
CATI,1,629576.021647314,5.61203182914355e-06,3.6711936973989685e-19,5.870509050525268e-14
HMSTR,0.0006353482125214712,1,1.7827971956299787e-10,1.1662431767312628e-23,1.864908715921174e-18
CAT,71275433.24376401,2243665185139.883,1,1.308329606519437e-12,2.0921153796881315e-07
MMSC,1.0895638666066543e+21,3.4298164223444107e+25,305733354964063.06,1,3198147.2700198353
FRAX,6813719160593231.0,2.1448771008741812e+20,1911940440.2047246,0.0001250724141910823,1
