,CATI,HMSTR,CAT,MMSC,FRAX
CATI,1,157394.0054118285,1.4030079572858875e-06,9.177984243497421e-20,1.467627262631317e-14
HMSTR,0.0001588370531303678,1,4.456992989074947e-11,2.915607941828157e-24,4.662271789802935e-19
CAT,17818858.310941003,560916296284.9707,1,3.2708240162985926e-13,5.2302884492203287e-08
MMSC,2.7239096665166358e+20,8.574541055861027e+24,76433338741015.77,1,799536.8175049588
FRAX,1703429790148307.8,5.362192752185453e+19,477985110.05118114,3.126810354777058e-05,1
